Period,SG,SN,SV,BG,BN,BV
192607,1.3724,0.9081,-0.0695,5.7168,1.9642,1.4222
192608,0.6095,1.5075,5.3842,2.7154,2.6838,6.3154
192609,-2.6779,-0.1359,-0.4374,1.4287,0.0709,-0.7967
192610,-3.5365,-4.3572,-2.0112,-3.5898,-2.346,-4.097
192611,3.121,3.6608,2.0944,3.1292,2.8965,3.4614
192612,2.7364,1.8411,3.2639,2.9678,2.6067,2.395
192701,-1.0001,-0.3782,3.9316,-0.2621,0.0347,4.4635
192702,3.9022,6.3784,6.6192,5.0044,3.5568,8.6305
192703,-1.6,-0.9889,-3.1676,1.3025,0.2071,-2.4764
192704,-1.3184,0.8741,3.4796,3.051,-0.7634,-0.5452
192705,5.5482,3.3467,13.3256,5.4076,5.1017,7.4921
192706,-1.5484,1.304,-3.9474,-0.9628,-3.0156,-1.6326
192707,4.3331,5.2347,3.9846,9.2369,6.7429,7.2603
192708,2.3503,-2.2044,0.86,3.9191,1.2181,-1.9651
192709,2.3981,2.2316,0.399,5.3864,4.3919,5.9674
192710,-0.1633,-2.1458,-5.8357,-3.6349,-4.284,-6.6219
192711,10.4346,8.062,10.2275,7.056,6.7676,6.6346
192712,5.5505,2.6016,2.4506,2.4954,1.8547,3.4755
192801,3.2031,2.7804,3.5948,-0.4774,-0.3667,-2.3168
192802,-4.7913,-1.7203,-4.1271,-0.6762,-1.1395,-2.7296
192803,7.393,8.6229,9.457,12.28,6.1327,7.8254
192804,4.2158,10.6845,9.9723,2.9145,6,4.4979
192805,7.5326,1.954,2.574,2.6065,-0.1128,0.6388
192806,-8.5131,-8.3044,-6.8294,-3.6094,-4.1224,-5.4164
192807,-0.4048,-0.4017,-0.8867,1.359,0.1098,0.9017
192808,6.124,5.0517,3.699,8.7368,5.3867,6.9468
192809,5.7317,4.4538,6.1762,2.9576,1.9153,4.4896
192810,6.8299,3.1244,1.6621,1.359,1.4325,2.0067
192811,8.6705,11.1936,12.2831,11.1602,13.2781,13.1497
192812,0.9055,-0.5953,-0.6462,0.9332,0.0018,1.2917
192901,-0.034,1.9379,1.448,6.5262,4.8294,2.6307
192902,0.7414,1.1014,0.382,-0.5791,0.8403,3.1476
192903,-5.9533,-3.4602,-4.0571,-1.3835,2.2097,-0.0642
192904,-0.0822,2.7549,0.5004,2.2172,1.1096,2.8362
192905,-10.2009,-9.3603,-12.5598,-5.7297,-4.1597,-6.1709
192906,6.9673,9.4356,6.4064,12.4593,9.3446,7.5052
192907,-0.0681,-0.7029,3.8633,3.5656,6.2018,4.9529
192908,-0.8885,-0.4641,-0.4544,7.272,12.543,6.9497
192909,-4.2569,-4.3105,-3.6218,-4.4211,-4.9685,-6.3175
192910,-21.7261,-19.3351,-19.8329,-24.1865,-14.0943,-10.3723
192911,-16.4096,-9.7926,-12.3366,-14.2535,-10.9314,-7.6677
192912,-2.7511,-3.1295,-1.8488,3.3988,0.551,1.317
